state_region,wind_energy_mw,solar_energy_mw,other_res_mw,total_mw,cumulative_wind_mw,cumulative_solar_mw,cumulative_other_res_mw,cumulative_total_mw
 / Chhattisgarh,0.0,1.4,0.9,2.3,0.0,41.10999999999999,27.700000000000006,68.81
 / Gujarat,32.21999999999999,28.77,0.1,61.08999999999999,1994.307,875.8679999999999,2.2000000000000006,2872.3749999999995
  / Madhya Pradesh,9.0,10.07,2.3,21.37,196.50000000000003,278.1400000000001,48.79999999999999,523.44
 / Maharashtra,8.9,13.94,0.0,22.84,299.90000000000003,386.0,0.0,685.9
  / Western Region,50.11999999999999,54.17999999999999,3.3,107.6,2490.707,1581.118,78.69999999999999,4150.525
  / Andhra Pradesh,17.07,23.48,0.0,40.55,379.21,482.4899999999999,0.0,861.6999999999998
 / Telangana,0.74,18.54,0.0,19.28,20.670000000000005,487.38,0.0,508.05
 / Karnataka,22.09,41.74999999999999,13.87,77.71,537.46,1022.66,366.27716627181826,1951.76
 / Kerala,0.47,1.28,0.0,1.75,7.89,36.17,0.0,44.06
  / Tamil Nadu,46.13,19.540000000000003,0.0,65.67,722.4099999999999,638.27,0.0,1360.6799999999998
 / Puducherry,0.0,0.05,0.0,0.05,0.0,1.1300000000000006,0.0,1.1300000000000006
  / Southern Region,86.5,104.64,13.87,205.01,1667.64,2668.1,366.27716627181826,4727.379999999999
 / Bihar,0.0,0.44,0.0,0.44,0.0,15.64134,0.0,15.64134
/ Odisha,0.0,2.08,0.0,2.08,0.0,51.27123399999999,0.0,51.27123399999999
  / West Bengal,0.0,0.76,0.0,0.76,0.0,21.880000000000003,0.0,21.880000000000003
 / Sikkim,0.0,0.0,0.0,0.0,0.0,2.64,0.0,2.64
 / Eastern Region,0.0,3.28,0.0,3.28,0.0,91.432574,0.0,91.432574
 / Assam,0.0,1.02,0.0,1.02,0.0,23.831234,0.0,23.831234
 / Mizoram ,0.0,0.13,0.0,0.13,0.0,3.6013400000000004,0.0,3.6013400000000004
 / Tripura ,0.0,0.0,0.0,0.0,0.0,0.321234,0.0,0.321234
-   / North-Eastern Region,0.0,1.15,0.0,1.15,0.0,27.853808000000004,0.0,27.853808000000004
 / Delhi,0.0,0.0,1.73,1.73,0.0,0.0,34.43,34.43
 / Haryana,0.0,0.81,0.69,1.5,0.0,14.09,18.9,32.99
  / Himachal Pradesh,0.0,0.19,11.52,11.71,0.0,2.07,271.89,273.96
 / Punjab,0.0,4.23,2.09,6.32,0.0,80.85,41.8,122.65
 / Rajasthan,4.6,132.91,0.35,137.86,299.94,2717.57,7.4,3024.91
  / Uttar Pradesh,0.0,14.68,0.0,14.68,0.0,216.94,0.0,216.94
 / Uttarakhand,0.0,0.61,0.0,0.61,0.0,8.93,0.0,8.93
 /Northern Region,4.6,153.43,16.38,174.41,299.94,3040.45,366.27716627181826,3714.81
 / Chhattisgarh,0.0,3.48,1.1,4.58,0.0,50.95,18.1,69.05
 / Gujarat,55.41,51.39,0.2,107.0,1081.8,870.87,1.0,1953.67
  / Madhya Pradesh,10.8,19.44,1.6,31.84,255.4,283.63,29.0,568.03
 / Maharashtra,9.7,18.65,0.0,28.35,606.4,321.99,0.0,928.39
 /Western Region,75.91,92.96,2.9,171.77,1943.6,1527.44,48.1,3519.14
  / Andhra Pradesh,21.57,23.83,0.0,45.4,833.24,400.11,0.0,1233.35
 / Telangana,0.26,17.63,0.0,17.89,22.67,308.4,0.0,331.07
 / Karnataka,23.66,47.03,11.71,82.4,963.24,805.14,268.15,2036.53
 / Kerala,0.6,1.44,0.0,2.04,13.7,26.48,0.0,40.18
 / Tamil Nadu,109.72,44.78,0.0,154.5,2314.13,909.01,0.0,3223.14
 / Pondicherry,0.0,0.07,0.0,0.07,0.0,1.31,0.0,1.31
 /Southern Region,149.62939013068092,134.78,11.71,302.3,2570.6922662519737,2450.45,268.15,5748.910909279285
 / Bihar,0.0,1.15,0.0,1.15,0.0,19.27,0.0,19.27
 / Odisha,0.0,2.33,1.22,3.55,0.0,34.22,24.93,59.15
  / West Bengal,0.0,0.0,0.55,0.55,0.0,2.89,5.29,8.18
 /Eastern Region,0.0,3.48,1.77,5.25,0.0,56.38,30.22,86.6
 / Assam,0.0,1.08,0.0,1.08,0.0,22.48,0.0,22.48
 / Mizoram,0.0,0.1,0.0,0.1,0.0,2.03,0.0,2.03
 / Tripura,0.0,0.02,0.0,0.02,0.0,0.17,0.0,0.17
- /North-Eastern Region,0.0,1.2,0.0,1.2,0.0,24.68,0.0,24.68
  / All India,149.62939013068092,178.86251072912162,20.664966039833857,322.44788727246555,2570.6922662519737,3195.187856305391,366.27716627181826,5748.910909279285
 / Delhi,0.0,0.0,1.19,1.19,0.0,0.0,52.04,52.04
 / Haryana,0.0,0.81,1.2,2.01,0.0,21.86,27.86,49.72
  / Himachal Pradesh,0.0,0.13,10.62,10.75,0.0,3.14,366.27716627181826,391.48
 / Punjab,0.0,3.81,2.09,5.9,0.0,118.8,62.7,181.5
 / Rajasthan,8.68,144.54,0.47,153.69,401.67,3195.187856305391,10.93,4547.08
  / Uttar Pradesh,0.0,12.36,0.0,12.36,0.0,329.81,0.0,329.81
 / Uttarakhand,0.0,0.58,0.0,0.58,0.0,14.18,0.0,14.18
 /Northern Region,8.68,162.23,15.57,186.48,401.67,3195.187856305391,366.27716627181826,5565.81
 / Chhattisgarh,0.0,3.24,0.8,4.04,0.0,76.75,27.6,104.35
 / Gujarat,34.3,47.32,0.1,81.72,1603.69,1304.52,1.8,2910.02
  / Madhya Pradesh,2.6,17.19,1.7,21.49,290.0,438.23,45.8,774.03
 / Maharashtra,3.4,19.15,0.0,22.55,777.9,477.66,0.0,1255.56
 /Western Region,40.3,86.9,2.6,129.8,2570.6922662519737,2297.17,75.2,5043.96
  / Andhra Pradesh,2.96,22.16,0.0,25.12,1039.42,576.65,0.0,1616.07
 / Telangana,0.08,18.72,0.0,18.8,26.42,475.67,14.43,516.52
 / Karnataka,5.63,43.48,12.47,61.58,1217.0,1166.46,366.27716627181826,2750.31
 / Kerala,0.07,1.31,0.0,1.38,18.57,38.79,0.0,57.36
 / Tamil Nadu,9.0,35.04,0.0,44.04,2570.6922662519737,1321.33,0.0,4479.46
 / Pondicherry,0.0,0.05,0.0,0.05,0.0,1.85,0.0,1.85
 /Southern Region,17.74,120.76,12.47,150.97,2570.6922662519737,3195.187856305391,366.27716627181826,5748.910909279285
 / Bihar,0.0,1.26,0.0,1.26,0.0,28.3,0.0,28.3
 / Odisha,0.0,2.27,1.25,3.52,0.0,53.63,37.5,91.13
  / West Bengal,0.0,0.0,0.56,0.56,0.0,2.89,10.38,13.27
 /Eastern Region,0.0,3.53,1.81,5.34,0.0,84.82,47.88,132.7
 / Assam,0.0,0.61,0.0,0.61,0.0,29.92,0.0,29.92
 / Mizoram,0.0,0.03,0.0,0.03,0.0,2.88,0.0,2.88
 / Tripura,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27
- /North-Eastern Region,0.0,0.64,0.0,0.64,0.0,33.07,0.0,33.07
  / All India,66.72,178.86251072912162,20.664966039833857,322.44788727246555,2570.6922662519737,3195.187856305391,366.27716627181826,5748.910909279285
 / Delhi,0.0,0.0,0.97,0.97,0.0,0.0,20.55,20.55
 / Haryana,0.0,0.63,0.71,1.34,0.0,17.74,17.9,35.64
  / Himachal Pradesh,0.0,0.0,11.05,11.05,0.0,0.32,224.23,224.55
 / Punjab,0.0,3.63,2.74,6.37,0.0,84.3,54.8,139.1
 / Rajasthan,17.0,109.0,0.78,126.78,340.85,2169.49,9.38,2519.72
  / Uttar Pradesh,0.0,3.18,0.0,3.18,0.0,173.01,1.2,174.20999999999998
 / Uttarakhand,0.0,0.46,0.0,0.46,0.0,11.49,0.0,11.49
  / Northern Region ,17.0,116.9,16.25,150.15,340.85,2456.3499999999995,328.06,3125.26
 / Chhattisgarh,0.0,0.8,0.0,0.8,0.0,19.3,0.0,19.3
 / Gujarat,38.47,28.46,0.0,66.93,785.6700000000001,501.03,0.8,1287.5
